Year,Month,Day,Steps
2022,3,18,14612
2022,3,19,9965
2022,3,20,24522
2022,3,21,2425
2022,3,22,4043
2022,3,23,8165
2022,3,24,8074
2022,3,25,8858
2022,3,26,10936
2022,3,27,13352
2022,3,28,8122
2022,3,29,8009
2022,3,30,9268
2022,3,31,9436
2022,4,1,12123
2022,4,2,5168
2022,4,3,294
2022,4,4,13063
2022,4,5,9251
2022,4,6,8410
2022,4,7,9917
2022,4,8,8143
2022,4,9,9551
2022,4,10,11256
2022,4,11,9028
2022,4,12,8210
2022,4,13,8884
2022,4,14,8278
2022,4,15,15388
2022,4,16,8006
2022,4,17,16161
2022,4,18,8524
2022,4,19,8249
2022,4,20,9987
2022,4,21,9675
2022,4,22,13853
2022,4,23,8689
2022,4,24,10448
2022,4,25,12244
2022,4,26,9934
2022,4,27,9495
2022,4,28,11970
2022,4,29,13261
2022,4,30,8113
2022,5,1,25235
2022,5,2,8549
2022,5,3,8063
2022,5,4,12053
2022,5,5,14191
2022,5,6,3119
2022,5,7,10476
2022,5,8,11491
2022,5,9,12730
2022,5,10,10139
2022,5,11,8524
2022,5,12,15554
2022,5,13,13864
2022,5,14,1504
2022,5,15,8305
2022,5,16,3584
2022,5,17,13192
2022,5,18,8301
2022,5,19,8346
2022,5,20,9786
2022,5,21,12385
2022,5,22,8257
2022,5,23,8283
2022,5,24,8153
2022,5,25,10014
2022,5,26,10128
2022,5,27,11687
2022,5,28,3259
2022,5,29,5162
2022,5,30,10667
2022,5,31,12857
2022,6,1,8179
2022,6,2,14372
2022,6,3,14622
2022,6,4,9464
2022,6,5,17698
2022,6,6,8316
2022,6,7,9066
2022,6,8,8577
2022,6,9,10117
2022,6,10,11798
2022,6,11,10063
2022,6,12,9936
2022,6,13,17096
2022,6,14,4413
2022,6,15,5023
2022,6,16,8098
2022,6,17,8403
2022,6,18,8237
2022,6,19,14295
2022,6,20,8382
2022,6,21,8607
2022,6,22,2706
2022,6,23,4828
2022,6,24,3389
2022,6,25,4311
2022,6,26,5578
2022,6,27,10581
2022,6,28,13416
2022,6,29,9511
2022,6,30,16121
2022,7,1,8746
2022,7,2,8199
2022,7,3,9267
2022,7,4,8146
2022,7,5,8800
2022,7,6,10156
2022,7,7,8220
2022,7,8,8830
2022,7,9,16159
2022,7,10,15825
2022,7,11,8297
2022,7,12,11179
2022,7,13,19485
2022,7,14,8552
2022,7,15,4440
2022,7,16,3250
2022,7,17,4491
2022,7,18,2001
2022,7,19,3188
2022,7,20,8293
2022,7,21,13836
2022,7,22,11583
2022,7,23,12847
2022,7,24,8247
2022,7,25,3987
2022,7,26,8061
2022,7,27,5112
2022,7,28,4921
2022,7,29,8830
2022,7,30,8580
2022,7,31,8285
2022,8,1,8449
2022,8,2,8695
2022,8,3,9526
2022,8,4,8494
2022,8,5,10335
2022,8,6,9173
2022,8,7,9109
2022,8,8,9033
2022,8,9,15564
2022,8,10,12819
2022,8,11,3744
2022,8,12,8406
2022,8,13,12502
2022,8,14,5530
2022,8,15,12152
2022,8,16,972
2022,8,17,4800
2022,8,18,8555
2022,8,19,10189
2022,8,20,20430
2022,8,21,9760
2022,8,22,8531
2022,8,23,8012
2022,8,24,8973
2022,8,25,4622
2022,8,26,9429
2022,8,27,12333
2022,8,28,11787
2022,8,29,8401
2022,8,30,8156
2022,8,31,8371
2022,9,1,8055
2022,9,2,8017
2022,9,3,14042
2022,9,4,30265
2022,9,5,8494
2022,9,6,8144
2022,9,7,8007
2022,9,8,9580
2022,9,9,8412
2022,9,10,12243
2022,9,11,16065
2022,9,12,8222
2022,9,13,9089
2022,9,14,12503
2022,9,15,8160
2022,9,16,10027
2022,9,17,36842
2022,9,18,10312
2022,9,19,8207
2022,9,20,8346
2022,9,21,9144
2022,9,22,10668
2022,9,23,9035
2022,9,24,39850
2022,9,25,11351
2022,9,26,6411
2022,9,27,8489
2022,9,28,8363
2022,9,29,8708
2022,9,30,10007
2022,10,1,18009
2022,10,2,14475
2022,10,3,8038
2022,10,4,8349
2022,10,5,9003
2022,10,6,8457
2022,10,7,11184
2022,10,8,18652
2022,10,9,10819
2022,10,10,16905
2022,10,11,8188
2022,10,12,13381
2022,10,13,11081
2022,10,14,2223
2022,10,15,9277
2022,10,16,8006
2022,10,17,8279
2022,10,18,2541
2022,10,19,8224
2022,10,20,3374
2022,10,21,8281
2022,10,22,8202
2022,10,23,25065
2022,10,24,8029
2022,10,25,8048
2022,10,26,8283
2022,10,27,8390
2022,10,28,3518
2022,10,29,8477
2022,10,30,8390
2022,10,31,3129
2022,11,1,8047
2022,11,2,4947
2022,11,3,6111
2022,11,4,4168
2022,11,5,10314
2022,11,6,10193
2022,11,7,8256
2022,11,8,8385
2022,11,9,2618
2022,11,10,8521
2022,11,11,8668
2022,11,12,9641
2022,11,13,8221
2022,11,14,2482
2022,11,15,8155
2022,11,16,8326
2022,11,17,8149
2022,11,18,10094
2022,11,19,8054
2022,11,20,8098
2022,11,21,9114
2022,11,22,9414
2022,11,23,8229
2022,11,24,9115
2022,11,25,8506
2022,11,26,11717
2022,11,27,7469
2022,11,28,9264
2022,11,29,6691
2022,11,30,8652
2022,12,1,8532
2022,12,2,10326
2022,12,3,4865
2022,12,4,2558
2022,12,5,8328
2022,12,6,9127
2022,12,7,8129
2022,12,8,10212
2022,12,9,8949
2022,12,10,9139
2022,12,11,10317
2022,12,12,12318
2022,12,13,9210
2022,12,14,9217
2022,12,15,8203
2022,12,16,9266
2022,12,17,9038
2022,12,18,11504
2022,12,19,2265
2022,12,20,11151
2022,12,21,10386
2022,12,22,10739
2022,12,23,10097
2022,12,24,11127
2022,12,25,9498
2022,12,26,9277
2022,12,27,9351
2022,12,28,9219
2022,12,29,9509
2022,12,30,10638
2022,12,31,11859
2023,1,1,9307
2023,1,2,10594
2023,1,3,9354
2023,1,4,9143
2023,1,5,9102
2023,1,6,9829
2023,1,7,17323
2023,1,8,15519
2023,1,9,9146
2023,1,10,9067
2023,1,11,12165
2023,1,12,10065
2023,1,13,8170
2023,1,14,10566
2023,1,15,8077
2023,1,16,12330
2023,1,17,8197
2023,1,18,2254
2023,1,19,8144
2023,1,20,9646
2023,1,21,9561
2023,1,22,8075
2023,1,23,8281
2023,1,24,10295
2023,1,25,2546
2023,1,26,9229
2023,1,27,10700
2023,1,28,9139
2023,1,29,9313
2023,1,30,8061
2023,1,31,9807
2023,2,1,8013
2023,2,2,9722
2023,2,3,8653
2023,2,4,9289
2023,2,5,9609
2023,2,6,9041
2023,2,7,6160
2023,2,8,8171
2023,2,9,9309
2023,2,10,8907
2023,2,11,9482
2023,2,12,11109
2023,2,13,3156
2023,2,14,10139
2023,2,15,9023
2023,2,16,9182
2023,2,17,10777
2023,2,18,11371
2023,2,19,8516
2023,2,20,9016
2023,2,21,5838
2023,2,22,16039
2023,2,23,9931
2023,2,24,6044
2023,2,25,4630
2023,2,26,12879
2023,2,27,9519
2023,2,28,9768
2023,3,1,8711
2023,3,2,8042
2023,3,3,6157
2023,3,4,11922
2023,3,5,10846
2023,3,6,8070
2023,3,7,9083
2023,3,8,8166
2023,3,9,3214
2023,3,10,9912
2023,3,11,16518
2023,3,12,15173
2023,3,13,8163
2023,3,14,10071
2023,3,15,11397
2023,3,16,13841
2023,3,17,13273
2023,3,18,16014
2023,3,19,13377
2023,3,20,9236
2023,3,21,12662
2023,3,22,9073
2023,3,23,7437
2023,3,24,11351
2023,3,25,16329
2023,3,26,8055
2023,3,27,6500
2023,3,28,9672
2023,3,29,9386
2023,3,30,12596
2023,3,31,9555
2023,4,1,8392
2023,4,2,10930
2023,4,3,8485
2023,4,4,9628
2023,4,5,8131
2023,4,6,3150
2023,4,7,10044
2023,4,8,12442
2023,4,9,8119
2023,4,10,3224
2023,4,11,9129
2023,4,12,10981
2023,4,13,10722
2023,4,14,9197
2023,4,15,32447
2023,4,16,18042
2023,4,17,9021
2023,4,18,9492
2023,4,19,8751
2023,4,20,5320
2023,4,21,10843
2023,4,22,10960
2023,4,23,9913
2023,4,24,9074
2023,4,25,10193
2023,4,26,10378
2023,4,27,11628
2023,4,28,9633
2023,4,29,9547
2023,4,30,11693
2023,5,1,9044
2023,5,2,11382
2023,5,3,8045
2023,5,4,6474
2023,5,5,10264
2023,5,6,9406
2023,5,7,15580
2023,5,8,9797
2023,5,9,8521
2023,5,10,9106
2023,5,11,9550
2023,5,12,9747
2023,5,13,31714
2023,5,14,9902
2023,5,15,9255
2023,5,16,11410
2023,5,17,9104
2023,5,18,10426
2023,5,19,9764
2023,5,20,12765
2023,5,21,10407
2023,5,22,10736
2023,5,23,9146
2023,5,24,10025
2023,5,25,10293
2023,5,26,8549
2023,5,27,9234
2023,5,28,9046
2023,5,29,9727
2023,5,30,10708
2023,5,31,9762
2023,6,1,11500
2023,6,2,13902
2023,6,3,11400
2023,6,4,10187
2023,6,5,9151
2023,6,6,9535
2023,6,7,10134
2023,6,8,9566
2023,6,9,9095
2023,6,10,9979
2023,6,11,11251
2023,6,12,9204
2023,6,13,9606
2023,6,14,9415
2023,6,15,10426
2023,6,16,9023
2023,6,17,12622
2023,6,18,26929
2023,6,19,38809
2023,6,20,27616
2023,6,21,24165
2023,6,22,26802
2023,6,23,17992
2023,6,24,9567
2023,6,25,11916
2023,6,26,9633
2023,6,27,9527
2023,6,28,9216
2023,6,29,8045
2023,6,30,9759
2023,7,1,12052
2023,7,2,10213
2023,7,3,12609
2023,7,4,9496
2023,7,5,9556
2023,7,6,11774
2023,7,7,14262
2023,7,8,13342
2023,7,9,11578
2023,7,10,14175
2023,7,11,11682
2023,7,12,10434
2023,7,13,9241
2023,7,14,11489
2023,7,15,13741
2023,7,16,11695
2023,7,17,9776
2023,7,18,8255
2023,7,19,10376
2023,7,20,9580
2023,7,21,14113
2023,7,22,15316
2023,7,23,10438
2023,7,24,15233
2023,7,25,13725
2023,7,26,10673
2023,7,27,18934
2023,7,28,12074
2023,7,29,9415
2023,7,30,11722
2023,7,31,9526
2023,8,1,9270
2023,8,2,9541
2023,8,3,9425
2023,8,4,9227
2023,8,5,13783
2023,8,6,11776
2023,8,7,9064
2023,8,8,9353
2023,8,9,9378
2023,8,10,9841
2023,8,11,9259
2023,8,12,9441
2023,8,13,8088
2023,8,14,9660
2023,8,15,9115
2023,8,16,9134
2023,8,17,5945
2023,8,18,9402
2023,8,19,15322
2023,8,20,10929
2023,8,21,9316
2023,8,22,9608
2023,8,23,9040
2023,8,24,5398
2023,8,25,10695
2023,8,26,27493
2023,8,27,9375
2023,8,28,9541
2023,8,29,10928
2023,8,30,9445
2023,8,31,7333
2023,9,1,13525
2023,9,2,36226
2023,9,3,17047
2023,9,4,11492
2023,9,5,8110
2023,9,6,8180
2023,9,7,10454
2023,9,8,10985
2023,9,9,9374
2023,9,10,9833
2023,9,11,10010
2023,9,12,9054
2023,9,13,9191
2023,9,14,11145
2023,9,15,8002
2023,9,16,13863
2023,9,17,20095
2023,9,18,10680
2023,9,19,10214
2023,9,20,6056
2023,9,21,9412
2023,9,22,9055
2023,9,23,11023
2023,9,24,9935
2023,9,25,10013
2023,9,26,9270
2023,9,27,9232
2023,9,28,13076
2023,9,29,9602
2023,9,30,10878
2023,10,1,14022
2023,10,2,8376
2023,10,3,8728
2023,10,4,9082
2023,10,5,9849
2023,10,6,10594
2023,10,7,22555
2023,10,8,10137
2023,10,9,10288
2023,10,10,7437
2023,10,11,9182
2023,10,12,9556
